Gully No.,Status,CA(m2),S(%),S,Av_width,Av_depth,w/d,max_length,Hhc,Width-Depth Ratio
1,Incomplete,,,,,,,,,
2,Complete,18.28355995,34%,34,57,32.7,1.743119266,182,48,WDR>1
3,Complete,17.39130504,24%,24,32.1,42.1,0.762470309,210,32,WDR<1
4,Incomplete,,,,106.8,42.4,2.518867925,210,46,WDR>1
5,Complete,12.59493265,14%,14,49.6,22.9,2.165938865,48,17.5,WDR>1
6,Complete,4.439221046,16%,16,40,40.6,0.985221675,30,30,WDR<1
7,Complete,7.989682803,29%,29,91,110.3,0.825022665,120,80,WDR<1
8,Complete,6.057650171,37%,37,80,70.25,1.138790036,60,66,WDR>1
9,Complete,6.28733391,20%,20,38.5,27,1.425925926,20,30,WDR>1
10,Incomplete,,,,32.5,31.3,1.038338658,19,28,WDR>1
11,Complete,2.202635698,35%,35,61,35.8,1.703910615,60,33,WDR>1
12,Complete,2.287045294,31%,31,29,20.5,1.414634146,50,14,WDR>1
13,Complete,23.95242352,7%,7,70,52.3,1.338432122,60,52,WDR>1
14,Complete,33.94488755,19%,19,98.3,144.6,0.679806362,90,133,WDR<1
15,Incomplete,,,,99.8,50.8,1.964566929,120,34,WDR>1
16,Complete,12.88127039,8%,8,120.6,223.9,0.538633318,210,216,WDR<1
17,Complete,3.61231643,14%,14,129.1,148.1,0.871708305,210,88,WDR<1
18,Complete,46.64887097,14%,14,151.3,156.5,0.966773163,240,151,WDR>1
19,Complete,5.944293821,27%,27,128.2,73.3,1.748976808,180,53,WDR>1
20,Complete,6.296865928,18%,18,103.5,118.6,0.872681282,60,114,WDR<1
21,Complete,11.02234356,15%,15,99,96.5,1.025906736,90,72,WDR>1
22,Complete,6.114174401,16%,16,122.2,90,1.357777778,150,71,WDR>1
23,Complete,70.43833068,34%,34,128.7,102.4,1.256835938,180,126,WDR>1
24,Incomplete,,,,87,66,1.318181818,60,72,WDR>1
25,Complete,10.70994767,29%,29,101.7,47,2.163829787,60,40,WDR>1
26,Incomplete,,,,130.6,132.3,0.987150416,180,65,WDR<1
27,Complete,40.94076818,27%,27,73,35.6,2.050561798,210,56,WDR>1
28,Complete,7.458198658,24%,24,59.6,93.3,0.638799571,60,93,WDR<1
29,Complete,7.260582067,14%,14,91.6,66.5,1.377443609,90,45,WDR>1
30,Incomplete,,,,83.4,41.8,1.995215311,120,34,WDR>1
31,Complete,11.40775815,52%,52,43.8,56.6,0.77385159,150,70,WDR<1
32,Complete,3.407699784,23%,23,141.8,65.5,2.164885496,240,30,WDR>1
33,Incomplete,,,,76.5,66.7,1.146926537,60,66,WDR>1
34,Incomplete,,,,116.7,103.5,1.127536232,90,107,WDR>1
35,Complete,8.056747632,25%,25,89.3,40.2,2.221393035,110,40,WDR>1
36,Complete,29.62355317,28%,28,86.8,93.6,0.927350427,120,52,WDR<1
37,Complete,6.513391538,45%,45,96.7,49.1,1.969450102,180,50,WDR>1
38,Complete,4.686698763,56%,56,81.1,65.7,1.234398782,270,75,WDR>1
39,Complete,4.09590133,15%,15,102.5,50.4,2.033730159,140,54,WDR>1
40,Incomplete,,,,50.3,40.5,1.241975309,60,42,WDR>1
